x,ball_y,on_line
-0.5,2.20,NO
0.0,2.20,YES
0.5,1.22,NO
1.0,0.24,NO
1.5,-0.74,NO
2.0,-1.72,NO
2.5,-2.70,NO
3.0,-3.68,NO
3.5,-4.66,NO
4.0,-5.64,NO
4.5,-6.62,NO
5.0,-7.60,NO
5.5,-7.20,NO
6.0,-6.80,NO
6.5,-6.40,NO
7.0,-6.00,NO
7.5,-5.60,NO
8.0,-5.20,NO
8.5,-4.80,NO
9.0,-4.40,NO
9.5,-4.00,NO
10.0,-3.60,NO
10.5,-3.68,NO
11.0,-3.76,NO
11.5,-3.84,NO
12.0,-3.92,NO
12.5,-4.00,NO
13.0,-4.08,NO
13.5,-4.16,NO
14.0,-4.24,NO
14.5,-4.32,NO
15.0,-4.40,NO
15.5,-3.58,NO
16.0,-2.76,NO
16.5,-1.94,NO
17.0,-1.12,NO
17.5,-0.30,NO
18.0,0.52,NO
18.5,1.34,NO
19.0,2.16,NO
19.5,2.98,YES
20.0,3.80,NO
20.5,3.70,NO
21.0,3.60,NO
21.5,3.50,NO
22.0,3.40,NO
22.5,3.30,NO
23.0,3.20,NO
23.5,3.10,NO
24.0,3.00,NO
24.5,2.90,NO
25.0,2.80,NO
25.5,3.15,NO
26.0,3.50,NO
26.5,3.85,NO
27.0,4.20,NO
27.5,4.55,NO
28.0,4.90,NO
28.5,5.25,NO
29.0,5.60,NO
29.5,5.95,NO
30.0,6.30,NO
30.5,5.01,NO
31.0,3.72,NO
31.5,2.43,NO
32.0,1.14,NO
32.5,-0.15,NO
33.0,-1.44,NO
33.5,-2.73,YES
34.0,-4.02,NO
34.5,-5.31,NO
35.0,-6.60,NO
35.5,-6.06,NO
36.0,-5.52,NO
36.5,-4.98,NO
37.0,-4.44,NO
37.5,-3.90,NO
38.0,-3.36,NO
38.5,-2.82,NO
39.0,-2.28,NO
39.5,-1.74,NO
40.0,-1.20,NO
40.5,-1.83,NO
41.0,-2.46,NO
41.5,-3.09,NO
42.0,-3.72,NO
42.5,-4.35,NO
43.0,-4.98,NO
43.5,-5.61,NO
44.0,-6.24,NO
44.5,-6.87,NO
45.0,-7.50,NO
45.5,-7.20,NO
46.0,-6.90,NO
46.5,-6.60,NO
47.0,-6.30,NO
47.5,-6.00,NO
48.0,-5.70,NO
48.5,-5.40,NO
49.0,-5.10,NO
49.5,-4.80,NO
50.0,-4.50,NO
50.5,-4.04,NO
51.0,-3.58,NO
51.5,-3.12,NO
52.0,-2.66,NO
52.5,-2.20,NO
53.0,-1.74,NO
53.5,-1.28,NO
54.0,-0.82,NO
54.5,-0.36,NO
55.0,0.10,NO
55.5,-0.67,NO
56.0,-1.44,NO
56.5,-2.21,NO
57.0,-2.98,NO
57.5,-3.75,NO
58.0,-4.52,NO
58.5,-5.29,NO
59.0,-6.06,NO
59.5,-6.83,NO
60.0,-7.60,NO
60.5,-7.32,NO
61.0,-7.04,NO
61.5,-6.76,NO
62.0,-6.48,NO
62.5,-6.20,NO
63.0,-5.92,NO
63.5,-5.64,NO
64.0,-5.36,NO
64.5,-5.08,NO
65.0,-4.80,NO
65.5,-4.08,NO
66.0,-3.36,NO
66.5,-2.64,NO
67.0,-1.92,YES
67.5,-1.20,NO
68.0,-0.48,NO
68.5,0.24,NO
69.0,0.96,NO
69.5,1.68,NO
70.0,2.40,NO
70.5,2.23,NO
71.0,2.06,NO
71.5,1.89,NO
72.0,1.72,NO
72.5,1.55,NO
73.0,1.38,NO
73.5,1.21,NO
74.0,1.04,NO
74.5,0.87,NO
75.0,0.70,NO
75.5,0.18,NO
76.0,-0.34,NO
76.5,-0.86,NO
77.0,-1.38,NO
77.5,-1.90,NO
78.0,-2.42,NO
78.5,-2.94,YES
79.0,-3.46,YES
79.5,-3.98,NO
80.0,-4.50,NO
80.5,-3.91,NO
81.0,-3.32,NO
81.5,-2.73,NO
82.0,-2.14,NO
82.5,-1.55,NO
83.0,-0.96,NO
83.5,-0.37,NO
84.0,0.22,NO
84.5,0.81,NO
85.0,1.40,NO
85.5,1.76,NO
86.0,2.12,NO
86.5,2.48,YES
87.0,2.84,YES
87.5,3.20,NO
88.0,3.56,NO
88.5,3.92,NO
89.0,4.28,NO
89.5,4.64,NO
90.0,5.00,NO
90.5,3.71,NO
91.0,2.42,YES
91.5,1.13,NO
92.0,-0.16,NO
92.5,-1.45,NO
93.0,-2.74,NO
93.5,-4.03,NO
94.0,-5.32,NO
94.5,-6.61,NO
95.0,-7.90,NO
95.5,-6.62,NO
96.0,-5.34,NO
96.5,-4.06,NO
97.0,-2.78,NO
97.5,-1.50,NO
98.0,-0.22,NO
98.5,1.06,NO
99.0,2.34,NO
99.5,3.62,NO
